n;command;output file;result;time (overall);time (loading ontologies); time (parsing query);time (initial consistency check);time (query execution);time (first run); time (second run);bindings globally excluded by CQ engine (%);bindings checked by BCQ engine per timepoint (%);average bindings checked by BCQ engine per timepoint (%);overall entailed bindings found already by CQ engine (%)
1;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-43-33.txt;1;2824;713;24;13;1896;1569;319;99.444444;0.352564,0.380117,0.511696;0.414792;0.000000
2;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-43-37.txt;2;2703;692;21;13;1821;1414;399;99.523810;0.302198,0.325815,0.476190;0.368068;0.000000
3;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-43-40.txt;3;2893;644;20;16;2064;1540;515;99.642857;0.226648,0.244361,0.357143;0.276051;0.000000
4;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-43-44.txt;4;3165;686;22;17;2282;1564;711;99.735450;0.167888,0.181008,0.264550;0.204482;0.000000
5;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-43-48.txt;5;3421;665;20;13;2560;1654;898;99.801587;0.125916,0.156642,0.198413;0.160323;0.000000
6;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-43-52.txt;6;3410;650;20;15;2582;1631;943;99.848485;0.096154,0.119617,0.151515;0.122429;0.000000
7;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-43-57.txt;7;3828;645;20;16;3003;1674;1320;99.882155;0.074786,0.093036,0.117845;0.095222;0.000000
8;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-44-01.txt;8;3977;674;22;15;3116;1691;1417;99.906760;0.059172,0.073611,0.093240;0.075341;0.000000
9;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-44-06.txt;9;4507;705;20;17;3606;1900;1696;99.925075;0.047549,0.059151,0.074925;0.060542;0.000000
10;export JAVA_OPTS="-XX:MaxRAMPercentage=85 -Djava.util.logging.config.file=/home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/logging.properties" && timeout 10h topllet -v -C /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/config.properties -c /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/catalog-v001.xml /home/lwesthofen/Dokumente/SCMs/PhD/topllet-benchmarks/row.tcq aboxes.kbs 2>&1;results/raw/log-2023-11-28-12-44-12.txt;10;4767;693;23;18;3884;1979;1895;99.938950;0.038743,0.048197,0.061050;0.049330;0.000000
